bulan,inflasi
2017-01,0.9
2017-02,0.27
2017-03,-0.15
2017-04,0.19
2017-05,0.46
2017-06,0.33
2017-07,0.04
2017-08,-0.21
2017-09,0.07
2017-10,0.02
2017-11,0.31
2017-12,0.59
2018-01,0.14
2018-02,0.26
2018-03,0.1
2018-04,0.14
2018-05,-0.17
2018-06,0.43
2018-07,0.09
2018-08,-0.1
2018-09,0.2
2018-10,0.16
2018-11,0.4
2018-12,0.29
2019-01,0.15
2019-02,-0.08
2019-03,0.16
2019-04,0.36
2019-05,0.05
2019-06,0.08
2019-07,0.44
2019-08,-0.23
2019-09,-0.27
2019-10,0.32
2019-11,0.38
2019-12,0.47
2020-01,0.52
2020-02,0.38
2020-03,0.11
2020-04,0.08
2020-05,0.19
2020-06,0.25
2020-07,0.06
2020-08,0.02
2020-09,0.17
2020-10,0.05
2020-11,0.44
2020-12,0.28
2021-01,0.16
2021-02,0.07
2021-03,0.15
2021-04,0.31
2021-05,0.13
2021-06,-0.1
2021-07,-0.08
2021-08,-0.08
2021-09,-0.09
2021-10,0.18
2021-11,0.25
2021-12,0.74
